success,family,n_qubits,n_t_gates,n_total_gates,ofd_success,ofd_fail,ofd_rate,final_chi,final_nu,final_S2,runtime,seed,extra_metadata,graph_type,code_distance,ansatz,n_layers,density,avg_clifford_depth,max_clifford_depth,min_clifford_depth,std_clifford_depth,avg_light_cone_width,max_light_cone_width,spatial_uniformity,depth_variance,n_gates
true,Random Clifford+T (All-to-all),8,4,68,4,0,1.0,1,4,0.0,0.01780986786,3845998793,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.0,8.0,0.0,23.142857142857142,68.0
true,Random Clifford+T (All-to-all),8,4,68,4,0,1.0,1,4,0.0,0.01047801971,329754375,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.75,8.0,0.0,17.142857142857142,68.0
true,Random Clifford+T (All-to-all),8,4,68,4,0,1.0,1,4,0.0,0.002019166946,1757246228,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.0,7.0,0.0,23.142857142857142,68.0
true,Random Clifford+T (All-to-all),8,4,68,4,0,1.0,1,4,0.0,0.02371883392,1545194432,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.0,8.0,0.0,7.714285714285714,68.0
true,Random Clifford+T (All-to-all),8,4,68,4,0,1.0,1,4,0.0,0.006119012833,3991997005,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.0,7.0,0.0,7.142857142857143,68.0
true,Random Clifford+T (All-to-all),8,8,136,7,1,0.875,2,7,0.3767701613,70.65073299,348311753,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,7.0,8.0,0.0,24.285714285714285,136.0
true,Random Clifford+T (All-to-all),8,8,136,7,1,0.875,2,7,0.1964669785,61.67369103,779766040,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.5,8.0,0.2928932188134524,29.714285714285715,136.0
true,Random Clifford+T (All-to-all),8,8,136,8,0,1.0,1,8,0.0,0.1847500801,2265497336,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.125,8.0,0.2928932188134524,30.285714285714285,136.0
true,Random Clifford+T (All-to-all),8,8,136,7,1,0.875,2,7,0.4164955307,52.9836061,554126911,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.25,8.0,0.0,28.285714285714285,136.0
true,Random Clifford+T (All-to-all),8,8,136,7,1,0.875,2,7,0.5580364977,74.264148,4167425494,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.375,8.0,0.0,20.571428571428573,136.0
true,Random Clifford+T (All-to-all),8,8,136,7,1,0.875,4,7,0.5810970601,162.528151,1500617368,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.625,8.0,0.0,44.0,136.0
true,Random Clifford+T (All-to-all),8,8,136,7,1,0.875,2,7,0.5623351446,64.88815308,2978516673,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.625,8.0,0.2928932188134524,24.857142857142858,136.0
true,Random Clifford+T (All-to-all),8,8,136,8,0,1.0,1,8,0.0,0.002210855484,1616520890,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.875,8.0,0.0,33.142857142857146,136.0
true,Random Clifford+T (All-to-all),8,12,204,8,4,0.6666666667,16,8,1.448787684,492.7056921,1458733531,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.416666666666667,8.0,0.11808289631180313,24.571428571428573,204.0
true,Random Clifford+T (All-to-all),8,12,204,8,4,0.6666666667,16,8,1.239747555,502.6951928,2094937185,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.333333333333333,8.0,0.0,62.0,204.0
true,Random Clifford+T (All-to-all),8,12,204,7,5,0.5833333333,16,7,1.42947713,724.5307481,1524444680,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.583333333333333,8.0,0.42264973081037427,32.285714285714285,204.0
true,Random Clifford+T (All-to-all),8,12,204,8,4,0.6666666667,16,8,1.707367246,390.007829,4029507245,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,7.0,8.0,0.5285954792089682,25.142857142857142,204.0
true,Random Clifford+T (All-to-all),8,12,204,8,4,0.6666666667,16,8,1.6174388,356.3299272,37797104,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.5,8.0,0.5285954792089682,25.428571428571427,204.0
true,Random Clifford+T (All-to-all),8,12,204,8,4,0.6666666667,16,8,1.246167013,632.1081119,1075135198,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.333333333333333,8.0,0.5285954792089682,35.142857142857146,204.0
true,Random Clifford+T (All-to-all),8,12,204,8,4,0.6666666667,8,8,0.8123625204,391.5590868,2308054032,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.916666666666667,8.0,0.0,23.714285714285715,204.0
true,Random Clifford+T (All-to-all),8,12,204,8,4,0.6666666667,16,8,1.522882326,311.3008351,1559066940,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,6.333333333333333,8.0,0.18350341907227408,38.0,204.0
true,Random Clifford+T (All-to-all),12,6,150,6,0,1.0,1,6,0.0,0.005228996277,2727039552,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.333333333333334,12.0,0.0,10.272727272727273,150.0
true,Random Clifford+T (All-to-all),12,6,150,5,1,0.8333333333,4,5,0.6622708974,30.12840891,2776034057,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.5,12.0,0.0,24.636363636363637,150.0
true,Random Clifford+T (All-to-all),12,6,150,6,0,1.0,1,6,0.0,0.004947185516,3913897307,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,7.166666666666667,12.0,0.0,9.363636363636363,150.0
true,Random Clifford+T (All-to-all),12,6,150,6,0,1.0,1,6,0.0,0.01758503914,1817872118,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,9.166666666666666,12.0,0.0,21.0,150.0
true,Random Clifford+T (All-to-all),12,6,150,6,0,1.0,1,6,0.0,0.006652116776,959618442,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,7.0,12.0,0.0,21.90909090909091,150.0
true,Random Clifford+T (All-to-all),12,6,150,6,0,1.0,1,6,0.0,0.005102872849,1717407336,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.166666666666666,12.0,0.0,15.181818181818182,150.0
true,Random Clifford+T (All-to-all),12,6,150,6,0,1.0,1,6,0.0,0.005967855453,2939401568,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,7.666666666666667,12.0,0.0,22.09090909090909,150.0
true,Random Clifford+T (All-to-all),12,6,150,6,0,1.0,1,6,0.0,0.004125118256,2914194091,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,7.5,12.0,0.0,5.545454545454546,150.0
true,Random Clifford+T (All-to-all),12,12,300,12,0,1.0,1,12,0.0,0.004784107208,2745390872,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.583333333333334,11.0,0.0871290708247231,102.9090909090909,300.0
true,Random Clifford+T (All-to-all),12,12,300,11,1,0.9166666667,2,11,0.4164955307,113.875401,800208585,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.833333333333334,12.0,0.0871290708247231,46.72727272727273,300.0
true,Random Clifford+T (All-to-all),12,12,300,12,0,1.0,1,12,0.0,0.004346847534,1286627058,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.75,12.0,0.18350341907227397,32.54545454545455,300.0
true,Random Clifford+T (All-to-all),12,12,300,11,1,0.9166666667,2,11,0.4164955307,170.462054,3727767223,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.583333333333334,12.0,0.42264973081037427,39.63636363636363,300.0
true,Random Clifford+T (All-to-all),12,12,300,11,1,0.9166666667,4,11,0.6286579834,137.9396398,2310669199,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.916666666666666,12.0,0.18350341907227397,76.36363636363636,300.0
true,Random Clifford+T (All-to-all),12,12,300,12,0,1.0,1,12,0.0,0.02263593674,2502799423,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,9.583333333333334,12.0,0.18350341907227397,34.0,300.0
true,Random Clifford+T (All-to-all),12,12,300,12,0,1.0,1,12,0.0,0.01245808601,955137978,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,9.083333333333334,12.0,0.42264973081037427,22.181818181818183,300.0
true,Random Clifford+T (All-to-all),12,12,300,11,1,0.9166666667,4,11,0.5591196116,144.1760001,542893593,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,7.583333333333333,12.0,0.18350341907227397,27.272727272727273,300.0
true,Random Clifford+T (All-to-all),12,18,450,12,6,0.6666666667,64,12,2.942267292,1477.264048,3308248183,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.722222222222221,11.0,0.0,139.9090909090909,450.0
true,Random Clifford+T (All-to-all),12,18,450,12,6,0.6666666667,64,12,2.876746188,1103.246109,3255844329,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,9.055555555555555,12.0,0.0,56.27272727272727,450.0
true,Random Clifford+T (All-to-all),12,18,450,12,6,0.6666666667,64,12,2.886425402,1036.761979,3547537020,"Dict{String, Any}()",,,,,,24.0,24.0,24.0,0.0,8.277777777777779,12.0,0.0,68.27272727272727,450.0
