success,family,n_qubits,seed,n_t_gates,gf2_rank,nullity,nullity_ratio,n_amenable,n_not_amenable,amenability_rate,default_chi,default_ofd_rate,default_time,guided_chi,guided_ofd_rate,guided_time,n_ofd_skipped,chi_match,chi_ratio,time_savings,predicted_chi
true,"Bell State / EPR Pairs",6,1421083828,6,2,4,0.666667,2,4,0.333333,1,1.000000,0.0033,1,0.333333,0.0022,4,true,1.000000,0.336428,16
true,"Bell State / EPR Pairs",6,3380586638,6,3,3,0.500000,3,3,0.500000,2,1.000000,0.0031,2,0.500000,0.0016,3,true,1.000000,0.490723,8
true,"Bell State / EPR Pairs",7,558418841,7,3,4,0.571429,3,4,0.428571,1,1.000000,0.0027,1,0.428571,0.0022,4,true,1.000000,0.160284,16
true,"Bell State / EPR Pairs",7,4052693590,7,3,4,0.571429,3,4,0.428571,2,1.000000,0.0023,2,0.428571,0.0039,4,true,1.000000,-0.681290,16
true,"Bell State / EPR Pairs",7,3989110246,7,3,4,0.571429,3,4,0.428571,2,1.000000,0.0024,2,0.428571,0.0023,4,true,1.000000,0.027260,16
true,"Bell State / EPR Pairs",7,2585133597,7,4,3,0.428571,4,3,0.571429,2,1.000000,0.0017,2,0.571429,0.0038,3,true,1.000000,-1.230272,8
true,"Bell State / EPR Pairs",8,2514396377,8,4,4,0.500000,4,4,0.500000,1,1.000000,0.0028,1,0.500000,0.0028,4,true,1.000000,0.033400,16
true,"Bell State / EPR Pairs",8,2379820787,8,4,4,0.500000,4,4,0.500000,2,1.000000,0.0045,2,0.500000,0.0028,4,true,1.000000,0.375480,16
true,"Bell State / EPR Pairs",8,2093191705,8,3,5,0.625000,3,5,0.375000,2,1.000000,0.0032,2,0.375000,0.0061,5,true,1.000000,-0.913161,32
true,"Bell State / EPR Pairs",8,394919435,8,3,5,0.625000,3,5,0.375000,1,1.000000,0.0160,1,0.375000,0.0064,5,true,1.000000,0.601833,32
true,"Graph State",4,1044997804,4,2,2,0.500000,2,2,0.500000,2,1.000000,0.0010,2,0.500000,0.0006,2,true,1.000000,0.356720,4
true,"Graph State",4,2706868454,4,3,1,0.250000,3,1,0.750000,1,1.000000,0.0004,1,0.750000,0.0047,1,true,1.000000,-11.287421,2
true,"Graph State",4,2112875127,4,3,1,0.250000,3,1,0.750000,2,1.000000,0.0004,2,0.750000,0.0003,1,true,1.000000,0.173043,2
true,"Graph State",4,2833130797,4,3,1,0.250000,3,1,0.750000,2,1.000000,0.0003,2,0.750000,0.0003,1,true,1.000000,0.038905,2
true,"Graph State",5,3950865267,5,3,2,0.400000,3,2,0.600000,2,1.000000,0.0008,2,0.600000,0.0008,2,true,1.000000,0.022268,4
true,"Graph State",5,2564828671,5,2,3,0.600000,2,3,0.400000,2,1.000000,0.0012,2,0.400000,0.0012,3,true,1.000000,0.010729,8
true,"Graph State",5,3382723847,5,2,3,0.600000,2,3,0.400000,2,1.000000,0.0014,2,0.400000,0.0013,3,true,1.000000,0.041968,8
true,"Graph State",5,662205439,5,4,1,0.200000,4,1,0.800000,2,1.000000,0.0005,2,0.800000,0.0005,1,true,1.000000,0.061314,2
true,"Graph State",6,3892873272,6,4,2,0.333333,4,2,0.666667,2,1.000000,0.0011,2,0.666667,0.0011,2,true,1.000000,0.026922,4
true,"Graph State",6,1438149979,6,3,3,0.500000,3,3,0.500000,2,1.000000,0.0016,2,0.500000,0.0015,3,true,1.000000,0.052378,8
true,"Graph State",6,3186096591,6,4,2,0.333333,4,2,0.666667,2,1.000000,0.0014,2,0.666667,0.0011,2,true,1.000000,0.212121,4
true,"Graph State",6,2219010457,6,4,2,0.333333,4,2,0.666667,1,1.000000,0.0051,1,0.666667,0.0010,2,true,1.000000,0.809491,4
true,"Graph State",7,2869322944,7,4,3,0.428571,4,3,0.571429,1,1.000000,0.0018,1,0.571429,0.0019,3,true,1.000000,-0.039805,8
true,"Graph State",7,4177435560,7,5,2,0.285714,5,2,0.714286,2,1.000000,0.0015,2,0.714286,0.0012,2,true,1.000000,0.159910,4
true,"Graph State",7,2110093406,7,6,1,0.142857,6,1,0.857143,2,1.000000,0.0007,2,0.857143,0.0007,1,true,1.000000,0.036585,2
true,"Graph State",7,2765810926,7,3,4,0.571429,3,4,0.428571,1,1.000000,0.0022,1,0.428571,0.0027,4,true,1.000000,-0.221686,16
true,"Graph State",8,2648167541,8,5,3,0.375000,5,3,0.625000,2,1.000000,0.0043,2,0.625000,0.0022,3,true,1.000000,0.482360,8
true,"Graph State",8,1978447958,8,5,3,0.375000,5,3,0.625000,2,1.000000,0.0026,2,0.625000,0.0024,3,true,1.000000,0.073759,8
true,"Graph State",8,1143023742,8,5,3,0.375000,5,3,0.625000,2,1.000000,0.0026,2,0.625000,0.0048,3,true,1.000000,-0.864000,8
true,"Graph State",8,1521813551,8,5,3,0.375000,5,3,0.625000,1,1.000000,0.0035,1,0.625000,0.0022,3,true,1.000000,0.360997,8
true,"Cluster State (1D)",4,2788412396,4,3,1,0.250000,3,1,0.750000,2,1.000000,0.0004,2,0.750000,0.0004,1,true,1.000000,0.072446,2
true,"Cluster State (1D)",4,1676998872,4,4,0,0.000000,4,0,1.000000,1,1.000000,0.0000,1,1.000000,0.0000,0,true,1.000000,0.046632,1
true,"Cluster State (1D)",4,1533129720,4,3,1,0.250000,3,1,0.750000,2,1.000000,0.0005,2,0.750000,0.0004,1,true,1.000000,0.190523,2
true,"Cluster State (1D)",4,3544224110,4,2,2,0.500000,2,2,0.500000,1,1.000000,0.0007,1,0.500000,0.0006,2,true,1.000000,0.026891,4
true,"Cluster State (1D)",5,833371602,5,2,3,0.600000,2,3,0.400000,2,1.000000,0.0012,2,0.400000,0.0014,3,true,1.000000,-0.141436,8
